Date,NINGDE_Close,BYD_Close
2023-08-17,223.46,79.65
2023-08-18,224.08,77.74
2023-08-21,221.17,75.78
2023-08-22,218.96,75.82
2023-08-23,215.71,74.34
2023-08-24,217.16,75.94
2023-08-25,216.55,75.18
2023-08-28,218.71,76.15
2023-08-29,226.71,79.88
2023-08-30,225.71,80.91
2023-08-31,224.76,80.78
2023-09-01,224.61,80.68
2023-09-04,225.86,81.79
2023-09-05,225.03,80.65
2023-09-06,222.63,81.13
2023-09-07,214.72,80.44
2023-09-08,211.15,78.99
2023-09-11,209.74,79.98
2023-09-12,206.14,81.64
2023-09-13,204.81,81.49
2023-09-14,203.14,78.85
2023-09-15,195.97,79.07
2023-09-18,201.27,80.1
2023-09-19,200.53,80.03
2023-09-20,198.11,78.98
2023-09-21,194.94,77.54
2023-09-22,199.14,79.33
2023-09-25,197.49,79.58
2023-09-26,192.71,77.14
2023-09-27,191.87,76.92
2023-09-28,191.24,76.54
2023-10-09,183.71,76.97
2023-10-10,182.93,76.95
2023-10-11,182.98,77.17
2023-10-12,184.15,79.13
2023-10-13,178.81,77.76
2023-10-16,172.97,76.81
2023-10-17,173.65,76.98
2023-10-18,174.51,80.67
2023-10-19,170.91,77.84
2023-10-20,169.21,77.38
2023-10-23,165.47,77.19
2023-10-24,164.63,76.16
2023-10-25,164.19,76.78
2023-10-26,166.28,77.18
2023-10-27,172.93,78.29
2023-10-30,176.23,79.18
2023-10-31,173.81,77.16
2023-11-01,175.75,76.38
2023-11-02,173.78,75.91
2023-11-03,175.65,77.19
2023-11-06,185.29,78.61
2023-11-07,179.45,77.97
2023-11-08,180.05,77.64
2023-11-09,179.66,77.41
2023-11-10,177.24,76.63
2023-11-13,176.06,76.68
2023-11-14,171.89,76.85
2023-11-15,172.69,77.19
2023-11-16,169.36,77.08
2023-11-17,168.94,76.56
2023-11-20,168.51,75.98
2023-11-21,168.82,75.71
2023-11-22,165.21,74.31
2023-11-23,165.91,73.92
2023-11-24,163.21,69.93
2023-11-27,158.91,67.28
2023-11-28,160.13,67.61
2023-11-29,155.06,64.97
2023-11-30,155.21,64.03
2023-12-01,153.71,63.33
2023-12-04,149.86,63.11
2023-12-05,147.02,63.09
2023-12-06,151.09,64.71
2023-12-07,152.7,64.13
2023-12-08,151.8,63.83
2023-12-11,153.56,64.04
2023-12-12,151.84,63.09
2023-12-13,147.56,61.58
2023-12-14,144.84,61.37
2023-12-15,143.21,62.07
2023-12-18,135.18,60.66
2023-12-19,137.21,60.31
2023-12-20,136.66,59.27
2023-12-21,142.6,60.87
2023-12-22,144.5,61.73
2023-12-25,145.75,61.7
2023-12-26,144.34,61.56
2023-12-27,142.54,61.46
2023-12-28,151.2,63.66
2023-12-29,151.47,63.64
2024-01-02,145.04,61.84
2024-01-03,144.01,62.03
2024-01-04,139.41,61.98
2024-01-05,139.11,61.87
2024-01-08,138.21,60.78
2024-01-09,136.91,61.93
2024-01-10,138.87,61.07
2024-01-11,143.03,63.24
2024-01-12,142.84,62.93
2024-01-15,139.91,62.51
2024-01-16,145.16,62.74
2024-01-17,140.45,59.91
2024-01-18,142.82,61.14
2024-01-19,143.11,60.76
2024-01-22,143.87,59.42
2024-01-23,142.12,60.26
2024-01-24,141.69,60.54
2024-01-25,143.21,60.94
2024-01-26,138.21,59.6
2024-01-29,135.23,57.12
2024-01-30,128.96,54.97
2024-01-31,139.8,54.55
2024-02-01,137.23,54.61
2024-02-02,134.21,53.31
2024-02-05,140.15,53.64
2024-02-06,146.54,56.27
2024-02-07,147.81,57.5
2024-02-08,151.05,58.03
2024-02-19,148.3,58.81
2024-02-20,146.54,57.32
2024-02-21,149.41,58.64
2024-02-22,148.56,58.64
2024-02-23,148.71,58.54
2024-02-26,144.21,59.64
2024-02-27,146.04,62.21
2024-02-28,145.22,60.31
2024-02-29,151.72,61.38
2024-03-01,152.76,61.7
2024-03-04,152.11,60.73
2024-03-05,152.86,61.25
2024-03-06,151.85,61.53
2024-03-07,148.36,60.61
2024-03-08,146.21,60.34
2024-03-11,169.06,63.89
2024-03-12,174.05,66.01
2024-03-13,173.39,66.43
2024-03-14,172.02,68.34
2024-03-15,169.21,67.47
2024-03-18,179.17,70.32
2024-03-19,175.46,69.91
2024-03-20,177.69,70.47
2024-03-21,177.29,70.63
2024-03-22,174.72,69.96
2024-03-25,173.01,69.04
2024-03-26,180.01,70.84
2024-03-27,176.21,68.3
2024-03-28,176.99,67.1
2024-03-29,178.37,65.33
2024-04-01,186.05,68.31
2024-04-02,187.91,68.42
2024-04-03,185.86,67.03
2024-04-08,182.81,68.31
2024-04-09,184.21,68.34
2024-04-10,180.95,68.26
2024-04-11,180.81,68.64
2024-04-12,176.6,67.84
2024-04-15,185.35,68.85
2024-04-16,185.36,68.19
2024-04-17,184.2,68.64
2024-04-18,183.77,68.84
2024-04-19,179.01,67.69
2024-04-22,178.81,67.16
2024-04-23,178.14,65.99
2024-04-24,177.81,66.78
2024-04-25,181.41,67.29
2024-04-26,186.69,70.77
2024-04-29,197.84,71.44
2024-04-30,195.84,70.48
2024-05-06,200.22,73.08
2024-05-07,200.12,74.27
2024-05-08,196.47,73.05
2024-05-09,202.64,73.69
2024-05-10,196.74,73.58
2024-05-13,192.59,72.88
2024-05-14,192.25,72.61
2024-05-15,191.13,70.69
2024-05-16,192.91,70.41
2024-05-17,196.24,70.84
