Date,Close_1,Vol_1,Close_2,Vol_2,price_spread,price_ratio,volume_ratio
2023-01-16,1761.57,36848,189.75,363525,1571.82,9.283636363636363,0.10136304243174472
2023-01-17,1756.67,21299,186.09,215079,1570.5800000000002,9.439894674619808,0.09902872897865435
2023-01-18,1741.67,21063,189.03,272412,1552.64,9.213722689520182,0.07732038236201048
2023-01-19,1728.88,23439,188.53,181199,1540.3500000000001,9.170317721317563,0.12935501851555473
2023-01-20,1708.68,25609,191.95,273480,1516.73,8.90169314925762,0.09364121690800059
2023-01-30,1736.67,35923,200.83,321809,1535.8400000000001,8.647463028432007,0.11162832611890905
2023-01-31,1694.43,32991,192.23,257247,1502.2,8.814597097227281,0.12824639354394804
2023-02-01,1693.64,33974,193.29,256552,1500.3500000000001,8.762170831393243,0.13242539524151048
2023-02-02,1684.78,29759,195.74,183272,1489.04,8.607234086032491,0.16237614038150944
2023-02-03,1666.67,34945,193.23,199352,1473.44,8.625316979765048,0.17529294915526306
2023-02-06,1643.67,42661,184.93,334075,1458.74,8.888065754609853,0.12769887001421837
2023-02-07,1645.67,24322,186.4,158116,1459.27,8.828701716738198,0.15382377495003668
2023-02-08,1632.67,16676,182.78,169057,1449.89,8.932432432432433,0.09864128666662723
2023-02-09,1666.67,29754,190.62,244940,1476.0500000000002,8.743416220753332,0.12147464685229035
